system_code,detector_index,x,y,z,label,panel
0,0,643.4134521484375,319.51708984375,430.5376892089844,PMT_332,0
0,1,247.6846160888672,-77.2072982788086,430.5376892089844,PMT_333,0
0,2,775.42431640625,-172.67636108398438,430.5376892089844,PMT_334,0
0,3,445.54901123046875,121.15487670898438,430.5376892089844,PMT_335,0
0,4,577.5599365234375,-371.03851318359375,439.2511901855469,PMT_336,0
0,5,-191.25291442871094,779.462646484375,430.5376892089844,PMT_337,0
0,6,-76.65690612792969,239.8734588623047,430.5376892089844,PMT_338,0
0,7,319.0718688964844,636.5977783203125,430.5376892089844,PMT_339,0
0,8,-389.1172790527344,581.1004028320312,433.8721923828125,PMT_340,0
0,9,121.20748901367188,438.2356262207031,430.5376892089844,PMT_341,0
0,10,188.20509338378906,-766.7922973632812,428.8103942871094,PMT_342,0
0,11,-148.04415893554688,-473.931640625,430.5376892089844,PMT_343,0
0,12,49.82023239135742,-275.5694885253906,430.5376892089844,PMT_344,0
0,13,-345.9085388183594,-672.2938842773438,425.81451416015625,PMT_345,0
0,14,386.0694580078125,-568.4301147460938,430.5376892089844,PMT_346,0
0,15,-274.52130126953125,41.511253356933594,430.5376892089844,PMT_347,0
0,16,-593.2547607421875,381.8687744140625,430.5376892089844,PMT_348,0
0,17,-472.38568115234375,-156.85092163085938,430.5376892089844,PMT_349,0
0,18,-791.119140625,183.506591796875,439.556396484375,PMT_350,0
0,19,-670.25,-355.21307373046875,430.5376892089844,PMT_351,0
0,20,152.39166259765625,815.5237426757812,3453.153564453125,PMT_352,9
0,21,813.3826904296875,150.27183532714844,3454.561279296875,PMT_353,9
0,22,-468.80419921875,667.8472290039062,3459.688232421875,PMT_354,9
0,23,478.02032470703125,683.96630859375,3458.14453125,PMT_355,9
0,24,679.3046875,476.57159423828125,3458.89208984375,PMT_356,9
0,25,815.8104248046875,-136.47817993164062,3454.561279296875,PMT_357,9
0,26,685.0760498046875,-463.51251220703125,3454.561279296875,PMT_358,9
0,27,151.14859008789062,-813.22021484375,3454.561279296875,PMT_359,9
0,28,468.62738037109375,-666.4517822265625,3459.14111328125,PMT_360,9
0,29,-483.50225830078125,-677.6968994140625,3457.62060546875,PMT_361,9
0,30,-814.6334228515625,-143.3368377685547,3454.561279296875,PMT_362,9
0,31,-154.67868041992188,-818.4671630859375,3456.633544921875,PMT_363,9
0,32,-294.47174072265625,21.005149841308594,3454.561279296875,PMT_364,9
0,33,-813.6015625,149.08200073242188,3454.561279296875,PMT_365,9
0,34,-677.8237915039062,474.0547790527344,3454.561279296875,PMT_366,9
0,35,-683.5238037109375,-470.8935546875,3456.515380859375,PMT_367,9
0,36,5.714347839355469,-291.2427673339844,3454.561279296875,PMT_368,9
0,37,-150.49267578125,813.341796875,3454.561279296875,PMT_369,9
0,38,26.89178466796875,300.22076416015625,3454.561279296875,PMT_370,9
0,39,296.9918212890625,-0.17226409912109375,3454.561279296875,PMT_371,9
0,40,-970.7803955078125,606.3162231445312,2583.54052734375,PMT_372,7
0,41,-1112.0242919921875,-272.0173645019531,2582.140625,PMT_373,6
0,42,-970.5308837890625,605.8260498046875,1296.5462646484375,PMT_374,7
0,43,-1105.9637451171875,274.911376953125,2583.54052734375,PMT_375,7
0,44,-1105.9637451171875,274.911376953125,1711.5614013671875,PMT_376,7
0,45,-971.0299072265625,606.8062744140625,1719.4073486328125,PMT_377,7
0,46,-1112.337646484375,-271.41058349609375,1723.1053466796875,PMT_378,6
0,47,-1111.7109375,-272.62420654296875,1299.9656982421875,PMT_379,6
0,48,-977.5648193359375,-598.6643676757812,2582.140625,PMT_380,6
0,49,-977.5648193359375,-598.6643676757812,1714.3974609375,PMT_381,6
0,50,-930.8336181640625,-549.151123046875,2134.529541015625,PMT_382,6
0,51,-268.2842102050781,-1118.96875,2583.652587890625,PMT_383,5
0,52,597.9425659179688,-975.8297119140625,2586.75634765625,PMT_384,4
0,53,263.65740966796875,-1120.514404296875,1299.3245849609375,PMT_385,4
0,54,265.51873779296875,-1119.1954345703125,2584.503173828125,PMT_386,4
0,55,-268.2842102050781,-1118.96875,1724.3843994140625,PMT_387,5
0,56,267.38006591796875,-1117.876220703125,1731.4464111328125,PMT_388,4
0,57,-592.8077392578125,-985.2942504882812,2583.652587890625,PMT_389,5
0,58,-594.1121826171875,-984.56640625,1714.3026123046875,PMT_390,5
0,59,595.3990478515625,-980.2013549804688,1729.8734130859375,PMT_391,4
0,60,-591.5033569335938,-986.0220947265625,1294.393798828125,PMT_392,5
0,61,544.1248779296875,-929.031982421875,2137.547119140625,PMT_393,4
0,62,978.4114990234375,-588.9102783203125,1721.35888671875,PMT_394,3
0,63,1115.2303466796875,257.08856201171875,1287.9661865234375,PMT_395,2
0,64,1117.2645263671875,261.62872314453125,1710.6134033203125,PMT_396,2
0,65,1116.24755859375,259.358642578125,2582.281982421875,PMT_397,2
0,66,1112.939697265625,-271.4206237792969,2582.69189453125,PMT_398,3
0,67,975.963623046875,-598.9873657226562,1296.4400634765625,PMT_399,3
0,68,980.0985107421875,586.217041015625,2582.281982421875,PMT_400,2
0,69,1112.939697265625,-271.4206237792969,1716.913818359375,PMT_401,3
0,70,980.0985107421875,586.217041015625,1715.1685791015625,PMT_402,2
0,71,977.1875,-593.9488525390625,2582.69189453125,PMT_403,3
0,72,928.5654907226562,550.076416015625,2134.710205078125,PMT_404,2
0,73,-549.8921508789062,927.7466430664062,2134.888671875,PMT_405,8
0,74,-273.24664306640625,1116.45654296875,1725.08935546875,PMT_406,8
0,75,-598.3262939453125,974.6319580078125,1722.3780517578125,PMT_407,8
0,76,593.4239501953125,975.8016357421875,1263.524658203125,PMT_408,1
0,77,583.6121826171875,981.796630859375,1712.4586181640625,PMT_409,1
0,78,268.9692077636719,1116.6328125,2582.04052734375,PMT_410,1
0,79,588.5181274414062,978.799072265625,2582.04052734375,PMT_411,1
0,80,268.9692077636719,1116.6328125,1715.9661865234375,PMT_412,1
0,81,-598.3262939453125,974.6319580078125,2582.421875,PMT_413,8
0,82,-262.7637939453125,1115.1058349609375,1287.509033203125,PMT_414,8
0,83,-268.00518798828125,1115.7811279296875,2582.421875,PMT_415,8
0,84,1041.35107421875,-273.05706787109375,2987.94384765625,PMT_416,3
0,85,1047.020263671875,255.73599243164062,839.1162109375,PMT_417,2
0,86,931.73828125,-536.2088012695312,832.2598876953125,PMT_418,3
0,87,1037.093505859375,-280.4848937988281,1267.171630859375,PMT_419,3
0,88,928.5654907226562,550.076416015625,1264.84912109375,PMT_420,2
0,89,931.73828125,-536.2088012695312,2138.23828125,PMT_421,3
0,90,931.73828125,-536.2088012695312,2987.94384765625,PMT_422,3
0,91,1047.020263671875,255.73599243164062,2987.42041015625,PMT_423,2
0,92,1047.020263671875,255.73599243164062,2134.710205078125,PMT_424,2
0,93,1045.608642578125,-265.6292724609375,2131.640625,PMT_425,3
0,94,928.5654907226562,550.076416015625,2987.42041015625,PMT_426,2
0,95,1041.35107421875,-273.05706787109375,832.2598876953125,PMT_427,3
0,96,266.620361328125,1047.097412109375,2134.401611328125,PMT_428,1
0,97,269.35784912109375,1045.0208740234375,826.3012084960938,PMT_429,1
0,98,-265.8830261230469,1041.6202392578125,2990.98095703125,PMT_430,8
0,99,-263.9139404296875,1044.644287109375,826.4630737304688,PMT_431,8
0,100,543.1104736328125,-938.3749389648438,1275.1087646484375,PMT_432,4
0,101,-546.7841186523438,-933.8875122070312,840.8126831054688,PMT_433,5
0,102,-274.1900634765625,-1048.42041015625,839.4158325195312,PMT_434,5
0,103,270.4703369140625,-1038.4031982421875,2137.547119140625,PMT_435,4
0,104,270.4703369140625,-1038.4031982421875,834.5734252929688,PMT_436,4
0,105,-272.01708984375,-1051.544921875,2989.1708984375,PMT_437,5
0,106,-546.7841186523438,-933.8875122070312,2989.1708984375,PMT_438,5
0,107,-269.8441162109375,-1054.66943359375,1267.9884033203125,PMT_439,5
