 event_id   pos_x  pos_z  n_pmt132  n_pmt133  n_pmt134
      129  1200.0 2100.0      19.0       0.0       0.0
      130 -1200.0 2300.0       NaN       NaN       NaN
      131 -1000.0 2300.0       NaN       NaN       NaN
      132  -800.0 2300.0       0.0      60.0       0.0
      133  -600.0 2300.0       0.0      81.0       0.0
      134  -400.0 2300.0       0.0     102.0       0.0
      135  -200.0 2300.0       0.0     145.0       0.0
      136     0.0 2300.0       5.0     161.0       0.0
      137   200.0 2300.0     138.0     135.0       0.0
      138   400.0 2300.0     251.0     101.0       0.0
      139   600.0 2300.0     323.0      92.0       0.0
      140   800.0 2300.0     276.0      59.0       0.0
      141  1000.0 2300.0      92.0       0.0       0.0
      142  1200.0 2300.0       3.0       0.0       0.0
      143 -1200.0 2500.0       NaN       NaN       NaN
      144 -1000.0 2500.0       NaN       NaN       NaN
      145  -800.0 2500.0       0.0       6.0       0.0
      146  -600.0 2500.0       0.0      74.0       0.0
      147  -400.0 2500.0       0.0      92.0       0.0
      148  -200.0 2500.0       0.0     114.0       0.0
      149     0.0 2500.0      19.0     125.0       0.0
      150   200.0 2500.0     225.0     117.0       0.0
      151   400.0 2500.0     297.0      95.0       0.0
      152   600.0 2500.0     559.0      74.0       0.0
      153   800.0 2500.0    1324.0       8.0       0.0
      154  1000.0 2500.0       NaN       NaN       NaN
      155  1200.0 2500.0       NaN       NaN       NaN
      156 -1200.0 2700.0       NaN       NaN       NaN
      157 -1000.0 2700.0       NaN       NaN       NaN
      158  -800.0 2700.0       NaN       NaN       NaN
      159  -600.0 2700.0       0.0       7.0       0.0
      160  -400.0 2700.0       0.0      38.0       0.0
      161  -200.0 2700.0       0.0     106.0       0.0
      162     0.0 2700.0      25.0      91.0       0.0
      163   200.0 2700.0     197.0      85.0       0.0
      164   400.0 2700.0     321.0      44.0       0.0
      165   600.0 2700.0     473.0       7.0       0.0
      166   800.0 2700.0     780.0       0.0       0.0
      167  1000.0 2700.0       NaN       NaN       NaN
      168  1200.0 2700.0       NaN       NaN       NaN
