NOT FOR USE IN ANY PART OF THE CODE OR ANALYSIS 
 Segment ID, Photon ID, Time of Creation (ns), Global Xhat, Global Yhat, Global Zhat, Global X (m), Global Y (m), Global Z (m), Wavelength (nm) 
1, 1, 0.02761838635837096, 0.6636492994107425,-0.0514935487106607,0.7462694029858209, 0.0, 0.0, 0.008279775652585766, 350
1, 2, 0.008737424772180246, 0.09890793336213777,0.658254661119249,0.7462694029858209, 0.0, 0.0, 0.002619411429627957, 350
1, 3, 0.0073339041984077325, 0.3618936776491797,-0.55867248388008,0.7462694029858209, 0.0, 0.0, 0.0021986469677280074, 350
1, 4, 0.026767706517873247, 0.08325322231079041,-0.6604172008223717,0.7462694029858209, 0.0, 0.0, 0.00802474850725931, 350
1, 5, 0.004223178231105425, 0.5775711127880514,-0.33089815327372035,0.7462694029858209, 0.0, 0.0, 0.001266075716398205, 350
1, 6, 0.024355528091971713, -0.6542978912718254,0.12237748013596739,0.7462694029858209, 0.0, 0.0, 0.007301596330976617, 350
1, 7, 0.00958996997955713, 0.5832511755611909,-0.3207803678121145,0.7462694029858209, 0.0, 0.0, 0.0028749977973169696, 350
1, 8, 0.01198281071755043, -0.5306686677163185,0.4018367121995874,0.7462694029858209, 0.0, 0.0, 0.003592352686406909, 350
1, 9, 0.01745933139059416, -0.20689481123723363,-0.6326740987667314,0.7462694029858209, 0.0, 0.0, 0.005234170638446909, 350
1, 10, 0.006039137028875859, -0.4151222140468769,0.5203417392176083,0.7462694029858209, 0.0, 0.0, 0.0018104859235977767, 350
1, 11, 0.002432011265650132, 0.6638133307042853,-0.0493339654444051,0.7462694029858209, 0.0, 0.0, 0.0007290979061143089, 350
1, 12, 0.017264691518306535, 0.6619336377774323,-0.07018430982720836,0.7462694029858209, 0.0, 0.0, 0.005175819131060562, 350
1, 13, 0.022022519140387463, -0.17493504409368246,-0.6422458318394351,0.7462694029858209, 0.0, 0.0, 0.00660217854226366, 350
1, 14, 0.00837924649501803, 0.20696530771704277,0.6326510409133745,0.7462694029858209, 0.0, 0.0, 0.0025120323908944366, 350
1, 15, 0.025976138741938937, -0.6155184853754854,-0.253414625324299,0.7462694029858209, 0.0, 0.0, 0.007787442695344419, 350
1, 16, 0.0016622110036913903, 0.5846380630441999,0.3182456808930998,0.7462694029858209, 0.0, 0.0, 0.0004983178241929664, 350
1, 17, 0.024513439020247222, -0.011262772633971019,-0.6655487421066785,0.7462694029858209, 0.0, 0.0, 0.007348936788968889, 350
1, 18, 0.020389987883737755, 0.622773681028697,-0.23502110625463674,0.7462694029858209, 0.0, 0.0, 0.006112758473491373, 350
1, 19, 0.0012070596594617841, 0.578465759336821,0.329331661766769,0.7462694029858209, 0.0, 0.0, 0.00036186702039530896, 350
1, 20, 0.015825402124743957, 0.6472211507702725,-0.15552093159054373,0.7462694029858209, 0.0, 0.0, 0.004744331457479212, 350
1, 21, 0.012148519407678002, -0.2906110561808425,-0.5988549007836887,0.7462694029858209, 0.0, 0.0, 0.003642030852253998, 350
1, 22, 0.011752012389982339, -0.30933326003400485,0.5894021652521488,0.7462694029858209, 0.0, 0.0, 0.003523161157674579, 350
1, 23, 0.022273476767812595, -0.21113983883905657,0.6312701059152126,0.7462694029858209, 0.0, 0.0, 0.006677413671008084, 350
1, 24, 0.014122163516504733, 0.2039490673948324,-0.633629825746835,0.7462694029858209, 0.0, 0.0, 0.004233713879172765, 350
1, 25, 0.008245212922105836, 0.6260339459883187,-0.22619344959012713,0.7462694029858209, 0.0, 0.0, 0.0024718501767988224, 350
1, 26, 0.015205418792816444, -0.2544432729777575,0.615093975749684,0.7462694029858209, 0.0, 0.0, 0.004558465316347959, 350
1, 27, 0.030556538241785922, 0.6409781695121662,-0.17952427238682556,0.7462694029858209, 0.0, 0.0, 0.009160610546856292, 350
1, 28, 0.0010094121111364372, -0.30196667550567885,-0.5932100008017689,0.7462694029858209, 0.0, 0.0, 0.0003026138353184238, 350
